Release Year,Distributor,Genre, Domestic Sales (in $) , International Sales (in $) , World Sales (in $) 
2013,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy']",234911825,258400000,493311825
2010,Warner Bros.,"['Action', 'Adventure', 'Fantasy']",163214888,330000105,493214993
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy']",113929605,377800484,491730089
2017,Twentieth Century Fox,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",146880162,343839601,490719763
2001,DreamWorks Distribution,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",267665011,220188309,487853320
2005,Twentieth Century Fox,"['Action', 'Comedy', 'Crime', 'Thriller']",186336279,300951367,487287646
2009,Sony Pictures Entertainment (SPE),"['Action', 'Mystery', 'Thriller']",133375846,352554970,485930816
2014,Paramount Pictures,"['Action', 'Adventure', 'Animation', 'Comedy', 'Sci-Fi']",191204754,293800000,485004754
2003,Universal Pictures,"['Comedy', 'Fantasy']",242829261,241763613,484592874
2011,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical']",143619809,340246709,483866518
1998,DreamWorks Distribution,"['Drama', 'War']",217049603,265300000,482349603
2011,Twentieth Century Fox,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",176760185,305040688,481800873
1990,Twentieth Century Fox,"['Comedy', 'Family']",285761243,190923432,476684675
2015,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",169700110,305486596,475186706
1983,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",309306177,122009457,475106177
2005,Warner Bros.,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",206459076,268509687,474968763
1989,Paramount Pictures,"['Action', 'Adventure']",197171806,277000000,474171806
2015,Warner Bros.,"['Action', 'Adventure', 'Thriller']",155190832,318818322,474009154
2019,Warner Bros.,"['Drama', 'Fantasy', 'Horror']",211593228,261500000,473093228
1975,Universal Pictures,"['Adventure', 'Thriller']",260758300,210653000,471411300
2012,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",189422889,281800000,471222889
2009,Warner Bros.,['Comedy'],277322503,191988333,469310836
2014,Warner Bros.,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",257760692,210300000,468060692
2018,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",127195589,340794056,467989645
2013,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",228778661,238586585,467365246
1999,Warner Bros.,"['Action', 'Sci-Fi']",171479930,295145800,466625730
2000,DreamWorks Distribution,"['Action', 'Adventure', 'Drama']",187705427,277675375,465380802
1990,Walt Disney Studios Motion Pictures,"['Comedy', 'Romance']",178406268,285000000,463406268
2006,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",244082982,217908885,461991867
2006,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",234362462,226072829,460435291
2014,Universal Pictures,"['Action', 'Sci-Fi', 'Thriller']",126663600,332200000,458863600
1996,Paramount Pictures,"['Action', 'Adventure', 'Thriller']",180981856,276714535,457696391
2007,Warner Bros.,"['Action', 'Drama']",210614939,245453242,456068181
2003,Warner Bros.,"['Action', 'Drama']",111127263,343500000,454627263
2001,Warner Bros.,"['Crime', 'Thriller']",183417150,267300000,450717150
2011,Paramount Pictures,"['Action', 'Adventure', 'Fantasy']",181030624,268295994,449326618
2001,Walt Disney Studios Motion Pictures,"['Action', 'Drama', 'History', 'Romance', 'War']",198542554,250678391,449220945
2016,Lionsgate,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",151101803,297805062,448906865
1999,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Music']",171091819,277100000,448191819
2002,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']",193735288,251400000,445135288
2007,Universal Pictures,"['Action', 'Mystery', 'Thriller']",227471070,216628965,444100035
2001,Universal Pictures,"['Action', 'Adventure', 'Fantasy', 'Thriller']",202019785,241261119,443280904
2009,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",219614612,223525393,443140005
2012,Universal Pictures,"['Drama', 'Musical', 'Romance']",148809770,293489539,442299309
1993,Twentieth Century Fox,"['Comedy', 'Drama', 'Family']",219195243,222090952,441286195
2015,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",89760956,350842581,440603537
2017,Twentieth Century Fox,"['Biography', 'Drama', 'Musical']",174340174,262609460,436949634
2018,Warner Bros.,"['Drama', 'Music', 'Romance']",215288866,220900000,436188866
2019,Warner Bros.,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']",144105346,289409488,433514834
2003,Warner Bros.,"['Action', 'Sci-Fi']",150371112,283000000,433371112
2002,Metro-Goldwyn-Mayer (MGM),"['Action', 'Adventure', 'Thriller']",160942139,271028977,431971116
2019,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Family']",158874395,271176898,430051293
2000,Twentieth Century Fox,"['Adventure', 'Drama', 'Romance']",233632142,196000000,429632142
2018,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",101028233,327000000,428028233
2010,The Weinstein Company,"['Biography', 'Drama', 'History']",138797449,288576868,427374317
2003,Warner Bros.,"['Action', 'Sci-Fi']",139313948,288030377,427344325
2020,Sony Pictures Entertainment (SPE),"['Action', 'Comedy', 'Crime', 'Thriller']",206305244,220200000,426505244
2012,The Weinstein Company,"['Drama', 'Western']",162805434,263268939,426074373
1991,Walt Disney Studios Motion Pictures,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",218967620,186043788,424967620
1990,Orion Pictures,"['Adventure', 'Drama', 'Western']",184208848,240000000,424208848
2008,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Family', 'Fantasy']",141621490,278044078,419665568
2008,Warner Bros.,"['Comedy', 'Drama', 'Romance']",152647258,266118261,418765519
1999,Universal Pictures,"['Action', 'Adventure', 'Fantasy']",155385488,260547918,415933406
2010,Twentieth Century Fox,"['Adventure', 'Family', 'Fantasy']",104386950,311299267,415686217
2016,Universal Pictures,"['Action', 'Thriller']",162434410,253050504,415484914
2013,Twentieth Century Fox,"['Action', 'Sci-Fi']",132556852,282271394,414828246
2015,Twentieth Century Fox,"['Action', 'Adventure', 'Comedy', 'Thriller']",128261724,286089822,414351546
2009,Twentieth Century Fox,"['Adventure', 'Comedy', 'Family', 'Fantasy']",177243721,235862449,413106170
1989,Warner Bros.,"['Action', 'Adventure']",251348343,160160000,411508343
2013,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi']",101802906,309200000,411002906
